--------------------------------------
sw_if_index: 3 | bits: 8 | size: 256 | mode: 4
pkt_count: 19026531 | admitted times: 8454 (0.000) | not_monitored: 14146545 (.744)
--------------------------------------
< val > 	 < key > 	 Hll_count 	 stream_q 	 raw_count_index 	 raw_count_value 	 reg_count_value 	 max_reg_value 
--------------------------------------
==========VVV=============
  2313.46 	 50.224.90.164    	   2136.30 	     22.03 	 0596 	      16496 	        256 	 11
  3583.38 	 89.183.104.150    	   3556.61 	     13.24 	 0600 	      48568 	        256 	 14
   660.29 	 50.224.90.152    	    670.97 	     70.16 	 0541 	       3440 	        238 	 8
  1792.67 	 144.105.24.27    	   1822.80 	     25.82 	 0586 	      20230 	        256 	 13
  4745.92 	 50.224.90.227    	   5316.99 	      8.85 	 0601 	      34220 	        256 	 12
   756.15 	 50.224.90.141    	    724.78 	     64.95 	 0554 	       7992 	        240 	 12
 10164.62 	 99.181.161.189    	   9956.09 	      4.73 	 0606 	      68656 	        256 	 13
  2160.14 	 136.25.188.105    	   2147.84 	     21.92 	 0595 	      83548 	        256 	 16
   943.49 	 50.224.90.158    	    968.81 	     48.59 	 0567 	       6835 	        251 	 11
   705.25 	 50.224.90.143    	    708.37 	     66.45 	 0548 	       8554 	        236 	 10
   660.67 	 50.224.90.185    	    670.99 	     70.15 	 0542 	       8893 	        237 	 12
   543.71 	 144.116.80.185    	    502.18 	     85.65 	 0519 	       2504 	        220 	 7
  1984.49 	 97.30.135.39    	   2117.36 	     22.23 	 0591 	      35250 	        256 	 14
   788.87 	 50.224.90.154    	    811.46 	     58.01 	 0557 	       4940 	        246 	 9
   704.85 	 99.181.189.173    	    723.91 	     65.03 	 0546 	       6016 	        240 	 10
   567.94 	 99.181.189.175    	    605.98 	     81.24 	 0523 	       3524 	        232 	 9
  1089.45 	 99.181.189.210    	   1076.99 	     43.71 	 0574 	       7396 	        252 	 11
   575.33 	 50.224.90.162    	    595.53 	     78.43 	 0526 	       6061 	        231 	 11
  1355.54 	 144.57.4.221    	   1421.67 	     33.11 	 0583 	      12892 	        256 	 11
 10439.62 	 99.181.161.190    	  10650.10 	      4.42 	 0609 	     192184 	        256 	 17
  2201.46 	 144.105.24.24    	   1969.01 	     23.91 	 0597 	      15692 	        256 	 11
  1211.22 	 98.150.38.204    	   1253.59 	     37.55 	 0576 	      12149 	        255 	 11
   928.11 	 50.224.90.235    	    963.27 	     48.87 	 0565 	       9878 	        250 	 11
   623.00 	 50.224.90.169    	    644.28 	     73.06 	 0537 	     138778 	        234 	 17
  1110.70 	 50.224.80.64    	   1087.48 	     43.29 	 0575 	      12051 	        253 	 11
   649.85 	 139.163.101.169    	    652.75 	     72.11 	 0538 	       6336 	        240 	 10
   975.44 	 99.181.189.171    	   1036.83 	     45.40 	 0569 	      17019 	        251 	 12
  9483.04 	 99.181.161.182    	   8853.98 	      5.32 	 0607 	     142416 	        256 	 15
   652.16 	 50.224.90.189    	    691.04 	     68.12 	 0540 	       7612 	        234 	 10
  1231.13 	 99.181.189.205    	   1263.41 	     37.26 	 0581 	      18941 	        255 	 13
   797.96 	 192.226.163.31    	    790.10 	     59.58 	 0559 	       4905 	        245 	 9
   497.27 	 50.224.76.232    	    509.39 	     90.49 	 0517 	       5727 	        221 	 10
   647.32 	 6.75.81.226    	    651.24 	     72.28 	 0539 	       7527 	        233 	 10
  2124.61 	 56.148.70.113    	   2028.21 	     23.21 	 0592 	      11526 	        256 	 10
   600.73 	 89.183.104.132    	    605.98 	     75.33 	 0532 	       6940 	        232 	 10
  1038.81 	 145.254.34.69    	   1050.11 	     44.83 	 0572 	      44579 	        251 	 15
   893.36 	 144.116.80.190    	    915.08 	     51.44 	 0564 	      14053 	        249 	 12
  5665.51 	 50.224.90.233    	   5317.54 	      8.85 	 0604 	      49004 	        256 	 14
   787.02 	 50.224.90.251    	    801.55 	     58.73 	 0558 	      75325 	        241 	 16
 20172.93 	 50.224.90.224    	  20543.09 	      2.29 	 0608 	     150752 	        256 	 15
   864.43 	 213.38.210.195    	    901.77 	     52.20 	 0561 	       7847 	        249 	 10
   583.04 	 129.211.253.198    	    595.53 	     77.45 	 0527 	       6811 	        231 	 10
   676.33 	 50.224.90.167    	    644.19 	     73.07 	 0543 	       4872 	        234 	 9
  1046.89 	 56.148.70.109    	   1018.29 	     46.23 	 0573 	      15516 	        252 	 13
   569.26 	 50.224.90.172    	    548.86 	     77.46 	 0524 	       7330 	        226 	 11
   816.84 	 243.171.132.0    	    795.21 	     59.19 	 0560 	       5152 	        246 	 9
   484.69 	 192.226.162.179    	    475.21 	     90.19 	 0516 	       7868 	        216 	 12
  2295.84 	 109.91.50.218    	   2480.16 	     18.98 	 0594 	      17402 	        256 	 12
   966.66 	 50.224.90.171    	    942.84 	     49.93 	 0568 	       9000 	        248 	 11
   599.71 	 50.224.90.160    	    548.86 	     76.89 	 0533 	       4356 	        226 	 10
  1006.56 	 50.224.90.157    	    996.69 	     47.23 	 0570 	      11341 	        251 	 11
   496.65 	 50.224.90.140    	    509.39 	     88.09 	 0515 	       4945 	        221 	 9
   481.69 	 50.224.76.237    	    475.21 	     90.75 	 0513 	       4294 	        216 	 10
   785.32 	 215.158.140.13    	    769.03 	     61.21 	 0555 	       9467 	        239 	 11
  1348.59 	 99.181.189.213    	   1419.22 	     33.17 	 0580 	      74747 	        255 	 16
   731.07 	 220.21.64.132    	    744.62 	     63.22 	 0551 	       6911 	        239 	 11
  1446.90 	 6.73.216.91    	   1500.27 	     31.38 	 0587 	      13332 	        256 	 12
  2000.39 	 97.30.135.38    	   1905.92 	     24.69 	 0593 	      25655 	        255 	 13
   885.65 	 99.181.189.211    	    894.34 	     52.63 	 0563 	       8408 	        248 	 10
   734.32 	 99.181.189.169    	    737.72 	     63.81 	 0550 	       7743 	        241 	 10
   703.17 	 89.183.104.248    	    735.78 	     63.98 	 0549 	       6277 	        239 	 9
   476.71 	 213.38.242.159    	    423.26 	     93.67 	 0514 	       8065 	        207 	 12
  1915.17 	 144.105.24.25    	   1953.53 	     24.09 	 0588 	      12532 	        256 	 11
   583.49 	 50.224.90.199    	    628.26 	     77.24 	 0528 	       4332 	        234 	 10
   589.97 	 6.21.194.21    	    595.53 	     76.24 	 0531 	      11429 	        231 	 12
   735.99 	 50.224.90.149    	    755.13 	     62.34 	 0552 	      10608 	        244 	 12
  2094.83 	 50.224.90.163    	   2107.55 	     22.34 	 0590 	      52748 	        256 	 14
   985.74 	 192.226.163.191    	    991.05 	     47.49 	 0571 	      10691 	        249 	 11
  5024.42 	 50.224.90.226    	   5066.54 	      9.29 	 0605 	      39476 	        256 	 13
   776.99 	 50.224.90.147    	    795.05 	     59.21 	 0556 	       5683 	        245 	 9
  2572.48 	 50.224.90.174    	   2791.92 	     16.86 	 0598 	      28566 	        256 	 12
  1947.29 	 137.72.4.5    	   1926.31 	     24.44 	 0589 	      20668 	        256 	 12
  2449.69 	 89.183.104.157    	   2630.21 	     17.89 	 0599 	      20482 	        256 	 11
   515.69 	 0.195.210.42    	    524.46 	     86.61 	 0518 	       2827 	        223 	 8
   688.44 	 50.224.90.191    	    700.33 	     67.21 	 0544 	       4628 	        236 	 8
   585.14 	 144.75.218.237    	    616.88 	     78.83 	 0529 	       4913 	        233 	 10
   580.55 	 144.75.218.241    	    557.54 	     78.99 	 0525 	       4063 	        227 	 9
  1276.95 	 192.67.116.0    	   1232.85 	     38.18 	 0578 	       9049 	        253 	 11
  1382.15 	 50.224.90.159    	   1442.23 	     32.64 	 0585 	      15736 	        254 	 13
   732.34 	 144.75.218.235    	    768.31 	     61.27 	 0553 	      29399 	        241 	 14
   925.10 	 50.224.90.148    	    924.96 	     50.89 	 0566 	      22846 	        252 	 14
   554.39 	 247.136.191.221    	    532.34 	     83.74 	 0522 	       4022 	        224 	 9
   625.26 	 6.75.128.66    	    678.35 	     69.39 	 0534 	       6047 	        237 	 11
  1195.17 	 50.224.90.153    	   1209.11 	     38.93 	 0579 	       6239 	        255 	 9
   556.49 	 97.120.173.58    	    585.49 	     79.44 	 0521 	      36594 	        230 	 15
   643.79 	 252.136.112.0    	    649.88 	     72.43 	 0536 	       5138 	        234 	 10
 15887.98 	 220.32.97.196    	  15482.38 	      3.04 	 0611 	      83360 	        256 	 13
  5184.14 	 50.224.90.234    	   5150.87 	      9.14 	 0602 	      40236 	        256 	 13
   832.42 	 144.75.218.233    	    796.84 	     59.07 	 0562 	      15290 	        242 	 13
   538.54 	 99.181.189.174    	    532.34 	     84.67 	 0520 	       3886 	        224 	 8
   696.37 	 99.181.189.172    	    715.22 	     65.82 	 0545 	       7383 	        243 	 10
   702.93 	 50.224.90.146    	    692.54 	     67.97 	 0547 	       6542 	        240 	 10
  1151.37 	 89.183.104.227    	   1250.81 	     37.63 	 0577 	      10148 	        254 	 10
   584.64 	 99.181.189.168    	    595.53 	     81.47 	 0530 	      11423 	        231 	 13
  1424.22 	 96.190.104.128    	   1462.49 	     32.19 	 0582 	      22302 	        254 	 13
 20516.46 	 50.224.90.231    	  20872.09 	      2.26 	 0610 	     317504 	        256 	 16
   465.94 	 50.224.90.208    	    502.18 	     89.22 	 0512 	       5298 	        220 	 10
  4807.16 	 50.224.90.225    	   4924.46 	      9.56 	 0603 	      51452 	        256 	 13
   606.72 	 144.116.100.208    	    652.66 	     76.05 	 0535 	       4642 	        236 	 9
  1707.95 	 97.30.135.34    	   1683.53 	     27.96 	 0584 	      51325 	        255 	 15
==========V=============
